"Dist Code","Year","State Code","State Name","Dist Name","CANALS AREA (1000 ha)","TANKS AREA (1000 ha)","TUBE WELLS AREA (1000 ha)","OTHER WELLS AREA (1000 ha)","TOTAL WELLS AREA (1000 ha)","OTHER SOURCES AREA (1000 ha)","NET AREA (1000 ha)","GROSS AREA (1000 ha)"
"8","2016","6","Madhya Pradesh","Balaghat","86.46","19.8","7.39","26.25","33.64","12.32","152.21","176.91"
"8","2017","6","Madhya Pradesh","Balaghat","79.97","22.9","6.61","22.66","29.27","12.51","144.64","170.66"
"9","2016","6","Madhya Pradesh","Chhindwara","17.08","4.7","48.41","142.79","191.2","7.49","220.47","220.47"
"9","2017","6","Madhya Pradesh","Chhindwara","25.44","4.71","50.36","155.35","205.71","9.48","245.35","245.35"
"10","2016","6","Madhya Pradesh","Narsinghpur","8.88","0.01","234.39","36.96","271.35","19.25","299.48","299.83"
"10","2017","6","Madhya Pradesh","Narsinghpur","8.88","0.01","230.11","36.96","267.07","19.25","295.21","297.24"
"11","2016","6","Madhya Pradesh","Seoni","87.19","11.54","24.82","54.63","79.45","21.81","199.98","199.98"
"11","2017","6","Madhya Pradesh","Seoni","96.88","9.96","28.6","52.44","81.04","22.12","210.0","210.0"
"12","2016","6","Madhya Pradesh","Mandla","21.56","3.69","-1.0","16.27","16.27","9.86","51.38","51.38"
"12","2017","6","Madhya Pradesh","Mandla","27.86","3.75","0.7","15.8","16.5","7.48","55.58","55.58"
"13","2016","6","Madhya Pradesh","Sagar","13.46","8.73","78.94","178.55","257.49","70.72","350.39","350.39"
"13","2017","6","Madhya Pradesh","Sagar","13.48","18.73","74.91","210.9","285.81","75.99","394.01","394.01"
"14","2016","6","Madhya Pradesh","Damoh","24.77","11.73","46.99","55.2","102.19","61.74","200.43","200.43"
"14","2017","6","Madhya Pradesh","Damoh","25.2","14.19","47.63","58.02","105.65","59.01","204.04","204.04"
"15","2016","6","Madhya Pradesh","Tikamgarh","2.3","11.67","28.71","122.69","151.39","42.2","207.56","266.66"
"15","2017","6","Madhya Pradesh","Tikamgarh","12.97","12.97","33.09","69.15","102.24","11.38","139.57","158.51"
"16","2016","6","Madhya Pradesh","Chhatarpur","25.03","7.3","46.52","161.23","207.75","24.74","264.81","264.81"
"16","2017","6","Madhya Pradesh","Chhatarpur","19.53","10.9","76.07","146.3","222.37","14.01","266.82","266.82"
"17","2016","6","Madhya Pradesh","Panna","11.34","2.04","18.14","19.89","38.03","75.92","127.32","127.32"
"17","2017","6","Madhya Pradesh","Panna","7.14","7.14","28.54","14.27","42.81","85.63","142.71","142.71"
"18","2016","6","Madhya Pradesh","Rewa","51.19","0.84","52.12","11.2","63.32","11.94","127.3","173.11"
"18","2017","6","Madhya Pradesh","Rewa","57.81","0.93","57.58","12.5","70.08","13.02","141.83","200.43"
"19","2016","6","Madhya Pradesh","Sidhi","23.59","0.92","17.79","11.33","29.12","6.71","60.33","72.71"
"19","2017","6","Madhya Pradesh","Sidhi","23.97","1.35","17.79","11.99","29.78","5.22","60.32","79.87"
"20","2016","6","Madhya Pradesh","Satna","7.59","0.58","152.89","29.7","182.59","14.89","205.64","205.64"
"20","2017","6","Madhya Pradesh","Satna","27.16","2.67","169.58","29.56","199.13","11.5","240.46","240.46"
"21","2016","6","Madhya Pradesh","Shahdol","6.37","1.05","8.73","6.44","15.17","9.63","32.22","32.22"
"21","2017","6","Madhya Pradesh","Shahdol","5.63","0.97","8.8","6.07","14.87","10.49","31.96","31.96"
"22","2016","6","Madhya Pradesh","Gwalior","77.43","0.38","53.75","2.86","56.61","4.93","139.36","197.83"
"22","2017","6","Madhya Pradesh","Gwalior","55.36","0.37","50.56","8.65","59.22","2.64","117.58","154.7"
"23","2016","6","Madhya Pradesh","Shivpuri","64.63","8.72","84.28","93.0","177.27","19.9","270.51","288.11"
"23","2017","6","Madhya Pradesh","Shivpuri","66.56","8.26","101.19","96.02","197.21","22.44","294.47","306.74"
"24","2016","6","Madhya Pradesh","Guna","18.33","2.09","129.36","62.33","191.69","38.73","250.84","251.13"
"24","2017","6","Madhya Pradesh","Guna","7.17","1.5","181.43","65.95","247.38","47.04","303.08","303.37"
"25","2016","6","Madhya Pradesh","Datia","128.62","-1.0","38.93","24.58","63.51","0.96","193.08","208.75"
"25","2017","6","Madhya Pradesh","Datia","143.65","0.0","26.5","25.09","51.59","0.0","195.24","213.37"
"26","2016","6","Madhya Pradesh","Morena","94.35","-1.0","83.94","31.89","115.83","7.34","217.51","225.58"
"26","2017","6","Madhya Pradesh","Morena","98.56","0.0","100.03","37.03","137.06","2.37","237.98","243.96"
"27","2016","6","Madhya Pradesh","Bhind","84.32","1.27","85.13","46.45","131.58","0.74","217.91","224.15"
"27","2017","6","Madhya Pradesh","Bhind","76.64","1.27","99.06","40.5","139.55","0.82","218.28","223.71"
"28","2016","6","Madhya Pradesh","Indore","2.08","2.49","188.0","12.16","200.16","9.3","214.03","214.03"
"28","2017","6","Madhya Pradesh","Indore","0.47","5.55","190.2","13.81","204.01","15.07","225.1","225.17"
"29","2016","6","Madhya Pradesh","Ratlam","5.86","7.54","92.72","85.65","178.37","24.17","215.94","216.13"
"29","2017","6","Madhya Pradesh","Ratlam","6.6","11.34","104.6","90.05","194.65","28.75","241.34","241.42"
"30","2016","6","Madhya Pradesh","Ujjain","6.72","6.68","289.78","71.13","360.91","23.17","397.48","397.48"
"30","2017","6","Madhya Pradesh","Ujjain","5.81","6.5","343.96","53.94","397.9","20.47","430.68","430.68"
"31","2016","6","Madhya Pradesh","Mandsaur","6.12","2.99","20.99","222.05","243.03","10.83","262.97","263.8"
"31","2017","6","Madhya Pradesh","Mandsaur","6.35","3.46","19.86","223.66","243.51","22.55","275.88","277.28"
"32","2016","6","Madhya Pradesh","Dewas","6.15","14.14","164.02","118.73","282.75","18.48","321.52","321.75"
"32","2017","6","Madhya Pradesh","Dewas","13.52","15.85","205.48","139.97","345.46","19.45","394.27","394.33"
"33","2016","6","Madhya Pradesh","Dhar","36.3","29.32","178.39","102.78","281.16","45.05","391.83","414.56"
"33","2017","6","Madhya Pradesh","Dhar","32.15","32.8","191.91","109.03","300.94","67.39","433.27","433.27"
"34","2016","6","Madhya Pradesh","Jhabua","15.71","13.95","3.06","15.87","18.93","15.75","64.34","64.85"
"34","2017","6","Madhya Pradesh","Jhabua","16.92","16.21","3.18","18.72","21.89","24.9","79.92","80.89"
"35","2016","6","Madhya Pradesh","Khargone","72.53","5.28","33.75","84.63","118.38","26.71","222.9","390.29"
"35","2017","6","Madhya Pradesh","Khargone","92.05","5.56","33.75","84.63","118.38","26.71","242.7","493.5"
"36","2016","6","Madhya Pradesh","Khandwa","36.69","3.21","31.51","109.1","140.61","22.75","203.25","203.25"
"36","2017","6","Madhya Pradesh","Khandwa","20.72","2.25","41.58","126.13","167.71","25.85","216.52","216.52"
"37","2016","6","Madhya Pradesh","Sehore","67.66","26.38","115.72","92.3","208.02","39.49","341.55","405.02"
"37","2017","6","Madhya Pradesh","Sehore","106.41","0.0","106.62","93.94","200.56","39.0","345.96","414.97"
"38","2016","6","Madhya Pradesh","Raisen","121.99","5.16","215.78","27.37","243.15","52.17","422.47","422.47"
"38","2017","6","Madhya Pradesh","Raisen","122.46","5.25","238.4","38.88","277.28","46.65","451.64","451.64"
"39","2016","6","Madhya Pradesh","Vidisha","85.07","23.55","144.36","99.93","244.29","73.37","426.28","426.28"
"39","2017","6","Madhya Pradesh","Vidisha","95.74","15.11","100.67","73.52","174.19","171.89","456.92","456.92"
"40","2016","6","Madhya Pradesh","Betul","34.32","7.46","37.22","92.16","129.38","22.01","193.17","193.17"
"40","2017","6","Madhya Pradesh","Betul","28.08","0.0","47.55","105.82","153.37","22.1","203.55","203.55"
"41","2016","6","Madhya Pradesh","Rajgarh","4.74","12.92","65.98","249.84","315.82","22.33","355.8","355.8"
"41","2017","6","Madhya Pradesh","Rajgarh","5.46","13.72","67.43","254.74","322.16","24.29","365.64","365.64"
"42","2016","6","Madhya Pradesh","Shajapur","2.22","5.34","55.07","73.95","129.02","76.54","213.12","213.12"
"42","2017","6","Madhya Pradesh","Shajapur","2.31","5.85","103.95","89.66","193.62","14.39","216.17","216.17"
"43","2016","6","Madhya Pradesh","Hoshangabad","167.27","1.95","84.33","43.13","127.46","15.28","311.95","464.25"
"43","2017","6","Madhya Pradesh","Hoshangabad","139.58","2.36","122.57","75.73","198.29","18.76","358.99","498.7"
"44","2016","1","Andhra Pradesh","Srikakulam","111.99","57.38","6.36","5.36","11.72","5.14","186.22","209.02"
"44","2017","1","Andhra Pradesh","Srikakulam","121.37","54.54","4.09","3.94","8.03","6.29","190.23","235.97"
"45","2016","1","Andhra Pradesh","Visakhapatnam","44.66","26.32","19.98","6.47","26.45","24.67","122.1","145.52"
"45","2017","1","Andhra Pradesh","Visakhapatnam","45.87","25.13","18.87","4.92","23.79","24.39","119.18","150.22"
"46","2016","1","Andhra Pradesh","East Godavari","190.14","16.27","65.89","0.04","65.92","4.08","276.42","480.02"
"46","2017","1","Andhra Pradesh","East Godavari","179.49","17.49","68.05","0.09","68.14","15.32","280.44","483.62"
"47","2016","1","Andhra Pradesh","West Godavari","161.02","11.72","175.98","-1.0","175.98","6.94","355.66","619.01"
"47","2017","1","Andhra Pradesh","West Godavari","156.63","14.05","174.94","0.0","174.95","7.78","353.41","621.3"
"48","2016","1","Andhra Pradesh","Krishna","176.99","14.7","65.34","7.28","72.61","8.34","272.65","320.4"
"48","2017","1","Andhra Pradesh","Krishna","186.85","20.95","72.65","4.77","77.42","8.42","293.65","359.91"
"49","2016","1","Andhra Pradesh","Guntur","243.47","3.77","86.87","10.61","97.47","17.15","361.88","414.14"
"49","2017","1","Andhra Pradesh","Guntur","199.0","3.43","112.41","14.86","127.26","14.44","344.14","465.17"
"50","2016","1","Andhra Pradesh","S.P.S.Nellore","99.88","9.5","84.84","4.07","88.91","1.49","199.78","265.72"
"50","2017","1","Andhra Pradesh","S.P.S.Nellore","118.37","45.49","81.54","3.28","84.82","4.08","252.76","276.0"
"51","2016","1","Andhra Pradesh","Kurnool","95.41","9.89","82.42","15.77","98.18","20.0","223.48","284.31"
"51","2017","1","Andhra Pradesh","Kurnool","70.09","8.86","80.57","11.45","92.01","16.7","187.66","245.25"
"52","2016","1","Andhra Pradesh","Anantapur","9.13","0.93","121.16","0.26","121.42","0.67","132.14","157.59"
"52","2017","1","Andhra Pradesh","Anantapur","11.0","3.18","121.24","0.2","121.45","0.87","136.49","174.09"
"53","2016","1","Andhra Pradesh","Kadapa YSR","17.97","1.35","123.6","1.76","125.36","1.38","146.06","164.69"
"53","2017","1","Andhra Pradesh","Kadapa YSR","16.83","3.59","133.44","1.9","135.34","1.22","156.98","179.54"
"54","2016","1","Andhra Pradesh","Chittoor","0.7","8.14","122.59","14.06","136.65","-1.0","145.49","188.01"
"54","2017","1","Andhra Pradesh","Chittoor","1.02","21.74","121.96","12.25","134.21","0.06","157.03","208.98"
"55","2016","20","Telangana","Hyderabad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"55","2017","20","Telangana","Hyderabad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"56","2016","20","Telangana","Nizamabad","18.34","7.02","128.85","0.7","129.56","3.88","158.79","284.15"
"56","2017","20","Telangana","Nizamabad","43.72","2.86","120.2","0.01","120.21","3.6","170.38","267.73"
"57","2016","20","Telangana","Medak","2.3","10.57","49.03","-1.0","49.03","2.55","64.44","95.93"
"57","2017","20","Telangana","Medak","8.73","7.71","37.67","0.0","37.67","2.31","56.42","92.52"
"58","2016","20","Telangana","Mahabubnagar","1.76","0.72","56.52","-1.0","56.52","1.09","60.09","82.54"
"58","2017","20","Telangana","Mahabubnagar","1.51","2.01","63.05","0.0","63.05","1.31","67.89","93.16"
"59","2016","20","Telangana","Nalgonda","32.03","4.5","92.8","3.93","96.73","4.5","137.76","188.59"
"59","2017","20","Telangana","Nalgonda","30.84","9.25","92.04","2.38","94.41","10.91","145.4","198.87"
"60","2016","20","Telangana","Warangal","5.45","10.84","21.45","55.98","77.43","1.02","94.74","150.4"
"60","2017","20","Telangana","Warangal","5.59","15.04","20.18","66.51","86.68","0.99","108.3","155.54"
"61","2016","20","Telangana","Khammam","19.33","14.22","48.95","27.11","76.06","2.44","112.05","133.33"
"61","2017","20","Telangana","Khammam","32.81","24.04","43.99","28.27","72.26","2.57","131.67","177.94"
"62","2016","20","Telangana","Karimnagar","32.24","3.6","6.46","64.53","70.99","0.39","107.22","145.71"
"62","2017","20","Telangana","Karimnagar","27.68","4.03","4.66","70.11","74.78","0.16","106.65","141.68"
"63","2016","20","Telangana","Adilabad","0.1","0.17","11.93","0.12","12.05","0.73","13.06","22.58"
"63","2017","20","Telangana","Adilabad","4.49","1.2","42.73","0.57","43.3","1.23","50.22","50.22"
"65","2016","5","Karnataka","Kolar","-1.0","-1.0","19.72","-1.0","19.72","-1.0","19.72","30.26"
"65","2017","5","Karnataka","Kolar","0.0","0.0","14.75","0.0","14.75","0.0","14.75","22.56"
"66","2016","5","Karnataka","Tumkur","4.1","5.38","146.07","0.75","146.83","-1.0","156.3","173.51"
"66","2017","5","Karnataka","Tumkur","0.0","5.33","145.98","0.73","146.7","0.0","152.03","170.78"
"67","2016","5","Karnataka","Mysore","75.81","6.18","14.05","6.31","20.36","0.22","102.56","115.56"
"67","2017","5","Karnataka","Mysore","76.64","5.93","15.3","6.08","21.38","1.05","105.0","121.18"
"68","2016","5","Karnataka","Mandya","51.28","14.92","21.81","4.73","26.55","1.77","94.52","112.25"
"68","2017","5","Karnataka","Mandya","55.2","23.92","20.89","7.34","28.23","2.52","109.87","121.72"
"69","2016","5","Karnataka","Hassan","4.5","17.89","25.81","0.58","26.39","4.57","53.35","63.25"
"69","2017","5","Karnataka","Hassan","3.75","17.41","28.81","0.5","29.31","3.94","54.4","64.6"
"70","2016","5","Karnataka","Shimoge","42.43","48.57","31.61","6.11","37.72","7.81","136.53","153.99"
"70","2017","5","Karnataka","Shimoge","35.47","49.47","31.91","6.47","38.38","8.84","132.17","155.7"
"71","2016","5","Karnataka","Chickmagalur","4.82","5.76","30.25","0.16","30.41","16.54","57.53","66.4"
"71","2017","5","Karnataka","Chickmagalur","4.98","3.95","32.52","0.15","32.67","14.68","56.28","57.13"
"72","2016","5","Karnataka","Chitradurga","0.82","-1.0","99.01","-1.0","99.01","-1.0","99.83","108.87"
"72","2017","5","Karnataka","Chitradurga","0.0","0.0","99.97","0.0","99.97","0.0","99.97","116.42"
"73","2016","5","Karnataka","Bellary","82.66","1.1","85.82","6.91","92.72","38.55","215.03","239.0"
"73","2017","5","Karnataka","Bellary","101.74","1.14","66.9","2.93","69.82","40.34","213.03","256.37"
"74","2016","5","Karnataka","Dharwad","12.23","-1.0","18.42","-1.0","18.42","-1.0","30.65","42.73"
"74","2017","5","Karnataka","Dharwad","12.77","0.0","26.21","0.0","26.21","8.61","47.59","54.87"
"75","2016","5","Karnataka","Belgaum","58.2","0.31","139.18","131.69","270.87","108.22","437.6","531.59"
"75","2017","5","Karnataka","Belgaum","59.79","0.31","117.38","114.33","231.72","86.48","378.29","469.71"
"76","2016","5","Karnataka","Bijapur","104.31","-1.0","91.94","49.25","141.19","5.19","250.69","286.43"
"76","2017","5","Karnataka","Bijapur","125.63","0.95","102.03","32.95","134.98","5.32","266.87","306.76"
"77","2016","5","Karnataka","Bidar","0.66","0.37","21.57","11.87","33.44","0.24","34.71","38.58"
"77","2017","5","Karnataka","Bidar","0.67","0.22","18.67","9.54","28.21","0.16","29.27","34.71"
"78","2016","5","Karnataka","Raichur","150.92","0.21","8.25","14.14","22.39","6.37","179.9","200.55"
"78","2017","5","Karnataka","Raichur","151.95","0.01","10.61","5.32","15.93","11.07","178.96","207.17"
"79","2016","5","Karnataka","Gulbarga","18.24","1.02","46.5","11.84","58.35","14.53","92.13","105.31"
"79","2017","5","Karnataka","Gulbarga","27.24","1.41","57.33","14.87","72.19","18.49","119.33","133.89"
"80","2016","5","Karnataka","Dakshina Kannada","-1.0","-1.0","18.22","36.66","54.89","17.63","72.52","75.14"
"80","2017","5","Karnataka","Dakshina Kannada","0.0","0.0","19.87","38.17","58.03","18.47","76.51","78.98"
"81","2016","5","Karnataka","Uttara Kannada","-1.0","6.03","8.64","9.37","18.0","14.35","38.38","40.21"
"81","2017","5","Karnataka","Uttara Kannada","0.0","6.66","9.69","9.45","19.13","14.8","40.59","42.51"
"82","2016","5","Karnataka","Kodagu","1.12","0.08","0.08","-1.0","0.08","0.11","1.38","1.51"
"82","2017","5","Karnataka","Kodagu","1.86","0.17","0.06","0.0","0.06","0.1","2.19","2.4"
"83","2016","11","Tamil Nadu","Kancheepuram","0.1","44.11","10.87","27.36","38.23","-1.0","82.43","96.59"
"83","2017","11","Tamil Nadu","Kancheepuram","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"84","2016","11","Tamil Nadu","South Arcot Cuddalore","35.11","2.37","91.57","8.16","99.73","0.53","137.74","185.93"
"84","2017","11","Tamil Nadu","South Arcot Cuddalore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"85","2016","11","Tamil Nadu","North Arcot Vellore","-1.0","1.38","14.85","61.97","76.82","-1.0","78.2","98.2"
"85","2017","11","Tamil Nadu","North Arcot Vellore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"86","2016","11","Tamil Nadu","Salem","0.11","-1.0","12.71","62.7","75.41","-1.0","75.52","84.73"
"86","2017","11","Tamil Nadu","Salem","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"87","2016","11","Tamil Nadu","Coimbatore","14.4","0.17","32.47","67.38","99.85","-1.0","114.42","115.52"
"87","2017","11","Tamil Nadu","Coimbatore","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"88","2016","11","Tamil Nadu","Tiruchirapalli Trichy","15.27","0.99","9.28","28.01","37.29","-1.0","53.56","59.4"
"88","2017","11","Tamil Nadu","Tiruchirapalli Trichy","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"89","2016","11","Tamil Nadu","Thanjavur","112.52","-1.0","42.38","0.14","42.51","-1.0","155.04","214.79"
"89","2017","11","Tamil Nadu","Thanjavur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"90","2016","11","Tamil Nadu","Madurai","0.02","2.82","2.13","39.11","41.23","-1.0","44.07","45.15"
"90","2017","11","Tamil Nadu","Madurai","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"91","2016","11","Tamil Nadu","Ramananthapuram","-1.0","50.54","1.31","12.08","13.38","-1.0","63.92","63.92"
"91","2017","11","Tamil Nadu","Ramananthapuram","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"92","2016","11","Tamil Nadu","Thirunelveli","14.11","20.09","1.6","40.46","42.06","-1.0","76.26","81.67"
"92","2017","11","Tamil Nadu","Thirunelveli","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"93","2016","11","Tamil Nadu","The Nilgiris","-1.0","-1.0","-1.0","1.03","1.03","-1.0","1.03","1.07"
"93","2017","11","Tamil Nadu","The Nilgiris","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"94","2016","11","Tamil Nadu","Kanyakumari","8.83","11.25","3.7","3.42","7.12","-1.0","27.21","32.87"
"94","2017","11","Tamil Nadu","Kanyakumari","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2016","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"96","2017","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","2016","7","Maharashtra","Raigarh","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"97","2017","7","Maharashtra","Raigarh","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"98","2016","7","Maharashtra","Ratnagiri","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"98","2017","7","Maharashtra","Ratnagiri","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"99","2016","7","Maharashtra","Nasik","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"99","2017","7","Maharashtra","Nasik","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"100","2016","7","Maharashtra","Dhule","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"100","2017","7","Maharashtra","Dhule","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"101","2016","7","Maharashtra","Jalgaon","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"101","2017","7","Maharashtra","Jalgaon","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"102","2016","7","Maharashtra","Ahmednagar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"102","2017","7","Maharashtra","Ahmednagar","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"103","2016","7","Maharashtra","Pune","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"103","2017","7","Maharashtra","Pune","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"104","2016","7","Maharashtra","Satara","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"104","2017","7","Maharashtra","Satara","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"105","2016","7","Maharashtra","Sangli","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"105","2017","7","Maharashtra","Sangli","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"106","2016","7","Maharashtra","Solapur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"106","2017","7","Maharashtra","Solapur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"107","2016","7","Maharashtra","Kolhapur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"107","2017","7","Maharashtra","Kolhapur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"108","2016","7","Maharashtra","Aurangabad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"108","2017","7","Maharashtra","Aurangabad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"109","2016","7","Maharashtra","Parbhani","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"109","2017","7","Maharashtra","Parbhani","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"110","2016","7","Maharashtra","Bid","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"110","2017","7","Maharashtra","Bid","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"111","2016","7","Maharashtra","Nanded","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"111","2017","7","Maharashtra","Nanded","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"112","2016","7","Maharashtra","Osmanabad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"112","2017","7","Maharashtra","Osmanabad","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"113","2016","7","Maharashtra","Buldhana","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"113","2017","7","Maharashtra","Buldhana","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"114","2016","7","Maharashtra","Akola","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"114","2017","7","Maharashtra","Akola","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"115","2016","7","Maharashtra","Amarawati","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"115","2017","7","Maharashtra","Amarawati","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"116","2016","7","Maharashtra","Yeotmal","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"116","2017","7","Maharashtra","Yeotmal","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"117","2016","7","Maharashtra","Wardha","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"117","2017","7","Maharashtra","Wardha","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"118","2016","7","Maharashtra","Nagpur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"118","2017","7","Maharashtra","Nagpur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"119","2016","7","Maharashtra","Bhandara","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"119","2017","7","Maharashtra","Bhandara","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
"120","2016","7","Maharashtra","Chandrapur","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0"
