Dist Code,Year,State Code,State Name,Dist Name,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
24,2016,6,Madhya Pradesh,Guna,19265.0,66.45,56.84,33.51,9648.0,33.28,28.47,16.78,79.0,0.27,0.23,0.14,28992.0,85.54,50.42
24,2017,6,Madhya Pradesh,Guna,18527.0,61.73,54.25,28.84,11391.0,37.95,33.35,17.73,94.0,0.31,0.28,0.15,30012.0,87.87,46.72
25,2016,6,Madhya Pradesh,Datia,15543.0,79.55,74.64,53.6,3834.0,19.62,18.41,13.22,161.0,0.82,0.77,0.56,19538.0,93.82,67.38
25,2017,6,Madhya Pradesh,Datia,21273.0,72.57,101.23,65.6,7790.0,26.58,37.07,24.02,249.0,0.85,1.18,0.77,29312.0,139.49,90.39
26,2016,6,Madhya Pradesh,Morena,34711.0,78.49,128.36,87.47,9277.0,20.98,34.3,23.38,236.0,0.53,0.87,0.59,44224.0,163.53,111.45
26,2017,6,Madhya Pradesh,Morena,34714.0,73.29,128.64,81.95,12158.0,25.67,45.06,28.7,494.0,1.04,1.83,1.17,47366.0,175.53,111.82
27,2016,6,Madhya Pradesh,Bhind,28122.0,71.98,82.86,68.42,10765.0,27.55,31.72,26.19,181.0,0.46,0.53,0.44,39068.0,115.11,95.06
27,2017,6,Madhya Pradesh,Bhind,28195.0,65.97,83.62,69.4,14286.0,33.43,42.37,35.17,257.0,0.6,0.76,0.63,42738.0,126.75,105.2
28,2016,6,Madhya Pradesh,Indore,41446.0,57.83,162.9,88.16,23277.0,32.48,91.49,49.51,6951.0,9.7,27.32,14.79,71674.0,281.71,152.46
28,2017,6,Madhya Pradesh,Indore,39595.0,60.28,157.98,80.28,20470.0,31.16,81.67,41.5,5622.0,8.56,22.43,11.4,65687.0,262.08,133.18
29,2016,6,Madhya Pradesh,Ratlam,35132.0,62.36,104.45,63.05,17513.0,31.09,52.07,31.43,3689.0,6.55,10.97,6.62,56334.0,167.48,101.1
29,2017,6,Madhya Pradesh,Ratlam,35384.0,61.75,104.78,60.86,17110.0,29.86,50.67,29.43,4806.0,8.39,14.23,8.27,57300.0,169.68,98.56
30,2016,6,Madhya Pradesh,Ujjain,46451.0,57.71,92.56,50.26,28625.0,35.56,57.04,30.97,5421.0,6.73,10.8,5.87,80497.0,160.4,87.1
30,2017,6,Madhya Pradesh,Ujjain,42030.0,53.5,83.2,43.71,30956.0,39.41,61.28,32.19,5569.0,7.09,11.02,5.79,78555.0,155.5,81.69
31,2016,6,Madhya Pradesh,Mandsaur,30446.0,60.42,85.36,49.07,14708.0,29.19,41.23,23.71,5238.0,10.39,14.68,8.44,50392.0,141.27,81.22
31,2017,6,Madhya Pradesh,Mandsaur,25973.0,59.66,72.76,40.85,13172.0,30.26,36.9,20.71,4389.0,10.08,12.29,6.9,43534.0,121.95,68.46
32,2016,6,Madhya Pradesh,Dewas,33893.0,59.26,83.75,45.03,18651.0,32.61,46.09,24.78,4651.0,8.13,11.49,6.18,57195.0,141.32,75.99
32,2017,6,Madhya Pradesh,Dewas,27680.0,59.14,68.29,36.0,15628.0,33.39,38.56,20.33,3500.0,7.48,8.64,4.55,46808.0,115.49,60.88
33,2016,6,Madhya Pradesh,Dhar,68608.0,61.35,137.16,82.47,34800.0,31.12,69.57,41.83,8421.0,7.53,16.84,10.12,111829.0,223.57,134.42
33,2017,6,Madhya Pradesh,Dhar,66096.0,62.42,132.32,77.85,32417.0,30.61,64.9,38.18,7376.0,6.97,14.77,8.69,105889.0,211.98,124.72
34,2016,6,Madhya Pradesh,Jhabua,23243.0,74.82,123.06,94.2,6991.0,22.5,37.01,28.33,833.0,2.68,4.41,3.38,31067.0,164.48,125.91
34,2017,6,Madhya Pradesh,Jhabua,21174.0,74.14,111.28,80.08,6172.0,21.61,32.44,23.34,1214.0,4.25,6.38,4.59,28560.0,150.09,108.02
35,2016,6,Madhya Pradesh,Khargone,52056.0,60.39,130.07,88.86,26057.0,30.23,65.11,44.48,8089.0,9.38,20.21,13.81,86202.0,215.38,147.15
35,2017,6,Madhya Pradesh,Khargone,60279.0,60.7,148.64,87.07,28972.0,29.17,71.44,41.85,10061.0,10.13,24.81,14.53,99312.0,244.89,143.46
36,2016,6,Madhya Pradesh,Khandwa,31786.0,64.28,104.03,69.43,13877.0,28.06,45.42,30.31,3784.0,7.65,12.38,8.27,49447.0,161.83,108.01
36,2017,6,Madhya Pradesh,Khandwa,31122.0,63.82,101.36,63.21,14355.0,29.43,46.75,29.16,3292.0,6.75,10.72,6.69,48769.0,158.83,99.05
37,2016,6,Madhya Pradesh,Sehore,44132.0,64.3,111.49,57.49,22923.0,33.4,57.91,29.86,1576.0,2.3,3.98,2.05,68631.0,173.39,89.41
37,2017,6,Madhya Pradesh,Sehore,41022.0,62.98,103.29,52.88,23326.0,35.81,58.73,30.07,786.0,1.21,1.98,1.01,65134.0,164.0,83.97
38,2016,6,Madhya Pradesh,Raisen,33042.0,60.76,76.27,47.49,20609.0,37.9,47.57,29.62,732.0,1.35,1.69,1.05,54383.0,125.53,78.16
38,2017,6,Madhya Pradesh,Raisen,40839.0,62.26,94.29,56.49,23883.0,36.41,55.14,33.04,876.0,1.34,2.02,1.21,65598.0,151.45,90.74
39,2016,6,Madhya Pradesh,Vidisha,29264.0,59.24,54.96,30.11,19524.0,39.52,36.66,20.09,611.0,1.24,1.15,0.63,49399.0,92.77,50.83
39,2017,6,Madhya Pradesh,Vidisha,23628.0,52.24,44.35,23.52,20800.0,45.99,39.04,20.71,800.0,1.77,1.5,0.8,45228.0,84.89,45.03
40,2016,6,Madhya Pradesh,Betul,32046.0,72.06,76.85,53.45,10794.0,24.27,25.89,18.0,1629.0,3.66,3.91,2.72,44469.0,106.65,74.17
40,2017,6,Madhya Pradesh,Betul,32641.0,72.8,76.27,51.61,10643.0,23.74,24.87,16.83,1552.0,3.46,3.63,2.45,44836.0,104.76,70.9
41,2016,6,Madhya Pradesh,Rajgarh,38099.0,59.4,86.25,47.65,24214.0,37.75,54.82,30.28,1823.0,2.84,4.13,2.28,64136.0,145.2,80.21
41,2017,6,Madhya Pradesh,Rajgarh,35199.0,60.78,79.76,43.54,21501.0,37.13,48.72,26.6,1209.0,2.09,2.74,1.5,57909.0,131.22,71.64
42,2016,6,Madhya Pradesh,Shajapur,21654.0,47.71,77.13,42.92,21350.0,47.04,76.05,42.32,2382.0,5.25,8.48,4.72,45386.0,161.66,89.96
42,2017,6,Madhya Pradesh,Shajapur,17581.0,49.07,62.4,34.29,15848.0,44.24,56.25,30.91,2397.0,6.69,8.51,4.67,35826.0,127.17,69.87
43,2016,6,Madhya Pradesh,Hoshangabad,58989.0,67.09,187.3,93.93,26951.0,30.65,85.57,42.91,1984.0,2.26,6.3,3.16,87924.0,279.17,140.0
43,2017,6,Madhya Pradesh,Hoshangabad,63911.0,62.86,200.38,92.93,34948.0,34.37,109.57,50.82,2820.0,2.77,8.84,4.1,101679.0,318.79,147.85
44,2016,1,Andhra Pradesh,Srikakulam,37068.0,64.85,123.23,90.77,12864.0,22.5,42.77,31.5,7232.0,12.65,24.04,17.71,57164.0,190.04,139.99
44,2017,1,Andhra Pradesh,Srikakulam,38071.0,63.49,124.33,84.59,13430.0,22.4,43.86,29.84,8460.0,14.11,27.63,18.8,59961.0,195.81,133.23
45,2016,1,Andhra Pradesh,Visakhapatnam,21768.0,75.92,77.73,64.88,4329.0,15.1,15.46,12.9,2577.0,8.99,9.2,7.68,28674.0,102.4,85.46
45,2017,1,Andhra Pradesh,Visakhapatnam,30888.0,81.55,109.98,90.91,4052.0,10.7,14.43,11.93,2935.0,7.75,10.45,8.64,37875.0,134.86,111.48
46,2016,1,Andhra Pradesh,East Godavari,106222.0,61.34,251.07,155.62,40706.0,23.51,96.21,59.64,26241.0,15.15,62.02,38.44,173169.0,409.3,253.7
46,2017,1,Andhra Pradesh,East Godavari,84246.0,58.71,197.19,126.49,30862.0,21.51,72.24,46.34,28384.0,19.78,66.44,42.62,143492.0,335.86,215.44
47,2016,1,Andhra Pradesh,West Godavari,128137.0,52.6,278.72,186.4,65511.0,26.89,142.5,95.3,49956.0,20.51,108.66,72.67,243604.0,529.88,354.37
47,2017,1,Andhra Pradesh,West Godavari,106191.0,52.41,233.06,152.44,49578.0,24.47,108.81,71.17,46863.0,23.13,102.85,67.27,202632.0,444.72,290.89
48,2016,1,Andhra Pradesh,Krishna,94920.0,60.3,203.13,152.04,40313.0,25.61,86.27,64.57,22167.0,14.08,47.44,35.51,157400.0,336.84,252.11
48,2017,1,Andhra Pradesh,Krishna,84529.0,58.54,177.41,130.23,39105.0,27.08,82.07,60.25,20768.0,14.38,43.59,32.0,144402.0,303.08,222.48
49,2016,1,Andhra Pradesh,Guntur,161851.0,59.85,291.27,229.98,82673.0,30.57,148.78,117.47,25888.0,9.57,46.59,36.79,270412.0,486.64,384.24
49,2017,1,Andhra Pradesh,Guntur,145843.0,60.32,245.02,189.43,75059.0,31.04,126.1,97.49,20887.0,8.64,35.09,27.13,241789.0,406.22,314.06
50,2016,1,Andhra Pradesh,S.P.S.Nellore,74059.0,62.22,246.56,206.75,27163.0,22.82,90.43,75.83,17805.0,14.96,59.28,49.71,119027.0,396.28,332.29
50,2017,1,Andhra Pradesh,S.P.S.Nellore,75470.0,63.51,216.99,209.3,25947.0,21.83,74.6,71.96,17416.0,14.66,50.07,48.3,118833.0,341.66,329.57
51,2016,1,Andhra Pradesh,Kurnool,138618.0,53.89,158.09,142.14,92426.0,35.93,105.41,94.78,26164.0,10.17,29.84,26.83,257208.0,293.33,263.75
51,2017,1,Andhra Pradesh,Kurnool,130915.0,57.02,153.82,137.39,75336.0,32.81,88.52,79.06,23345.0,10.17,27.43,24.5,229596.0,269.77,240.94
52,2016,1,Andhra Pradesh,Anantapur,41983.0,52.97,46.96,45.66,27600.0,34.83,30.87,30.02,9669.0,12.2,10.81,10.52,79252.0,88.64,86.19
52,2017,1,Andhra Pradesh,Anantapur,38288.0,50.06,48.21,45.46,26127.0,34.16,32.9,31.02,12070.0,15.78,15.2,14.33,76485.0,96.3,90.82
53,2016,1,Andhra Pradesh,Kadapa YSR,45269.0,57.32,133.76,120.7,24007.0,30.4,70.93,64.01,9700.0,12.28,28.66,25.86,78976.0,233.35,210.58
53,2017,1,Andhra Pradesh,Kadapa YSR,47161.0,56.1,140.44,127.11,24126.0,28.7,71.85,65.02,12776.0,15.2,38.05,34.43,84063.0,250.34,226.56
54,2016,1,Andhra Pradesh,Chittoor,37118.0,61.37,103.36,91.83,15772.0,26.08,43.92,39.02,7591.0,12.55,21.14,18.78,60481.0,168.41,149.62
54,2017,1,Andhra Pradesh,Chittoor,43320.0,63.48,119.69,103.0,15960.0,23.39,44.1,37.95,8962.0,13.13,24.76,21.31,68242.0,188.55,162.26
55,2016,20,Telangana,Hyderabad,30159.4901585052,64.62854324253311,149.65983498328396,95.00692099639572,12082.956674049366,25.64201528306417,55.398329108896654,36.34437315906889,3119.6025706332935,9.72940563669664,23.23327467629004,15.06230216691695,46834.39581514174,228.12167872852086,146.30391050959628
55,2017,20,Telangana,Hyderabad,30159.4901585052,64.62854324253311,149.65983498328396,95.00692099639572,12082.956674049366,25.64201528306417,55.398329108896654,36.34437315906889,3119.6025706332935,9.72940563669664,23.23327467629004,15.06230216691695,46834.39581514174,228.12167872852086,146.30391050959628
56,2016,20,Telangana,Nizamabad,101989.0,73.37,549.66,299.3,28446.0,20.46,153.31,83.48,8573.0,6.17,46.2,25.16,139008.0,749.18,407.93
56,2017,20,Telangana,Nizamabad,78336.0,70.51,393.36,255.05,23923.0,21.53,120.13,77.89,8839.0,7.96,44.38,28.78,111098.0,557.88,361.71
57,2016,20,Telangana,Medak,61773.0,74.34,527.24,412.52,17797.0,21.42,151.9,118.85,3521.0,4.24,30.05,23.51,83091.0,709.19,554.89
57,2017,20,Telangana,Medak,41738.0,79.19,442.75,318.51,8148.0,15.46,86.43,62.18,2822.0,5.35,29.94,21.54,52708.0,559.12,402.23
58,2016,20,Telangana,Mahabubnagar,90587.0,68.22,321.36,297.25,37967.0,28.59,134.69,124.58,4229.0,3.18,15.0,13.88,132783.0,471.05,435.71
58,2017,20,Telangana,Mahabubnagar,56068.0,64.09,182.27,167.16,26026.0,29.75,84.61,77.59,5383.0,6.15,17.5,16.05,87477.0,284.37,260.8
59,2016,20,Telangana,Nalgonda,122388.0,67.41,340.64,291.15,42722.0,23.53,118.91,101.63,16443.0,9.06,45.77,39.12,181553.0,505.32,431.89
59,2017,20,Telangana,Nalgonda,80013.0,65.0,213.91,180.2,31453.0,25.55,84.09,70.84,11633.0,9.45,31.1,26.2,123099.0,329.1,277.24
60,2016,20,Telangana,Warangal,140315.0,69.65,1068.4,749.31,41184.0,20.44,313.59,219.93,19958.0,9.91,151.97,106.58,201457.0,1533.95,1075.82
60,2017,20,Telangana,Warangal,15462.0,60.31,106.25,79.97,8136.0,31.74,55.91,42.08,2039.0,7.95,14.01,10.55,25637.0,176.18,132.59
61,2016,20,Telangana,Khammam,92584.0,63.61,403.32,347.95,39640.0,27.23,172.68,148.98,13327.0,9.16,58.06,50.09,145551.0,634.06,547.01
61,2017,20,Telangana,Khammam,76513.0,62.41,318.61,245.06,31365.0,25.59,130.61,100.46,14710.0,12.0,61.25,47.11,122588.0,510.47,392.64
62,2016,20,Telangana,Karimnagar,152631.0,66.57,1430.31,807.71,42405.0,18.49,397.38,224.4,34249.0,14.94,320.95,181.24,229285.0,2148.63,1213.36
62,2017,20,Telangana,Karimnagar,100729.0,72.83,885.86,559.9,26999.0,19.52,237.44,150.07,10584.0,7.65,93.08,58.83,138312.0,1216.39,768.81
63,2016,20,Telangana,Adilabad,85776.0,72.49,428.11,405.99,24610.0,20.8,122.83,116.48,7940.0,6.71,39.63,37.58,118326.0,590.56,560.06
63,2017,20,Telangana,Adilabad,59648.0,75.1,300.51,272.86,13502.0,17.0,68.02,61.77,6270.0,7.89,31.59,28.68,79420.0,400.12,363.31
65,2016,5,Karnataka,Kolar,11236.0,50.64,67.47,63.46,7841.0,35.34,47.09,44.28,3111.0,14.02,18.68,17.57,22188.0,133.24,125.31
65,2017,5,Karnataka,Kolar,14174.0,55.05,85.6,81.75,8234.0,31.98,49.73,47.49,3340.0,12.97,20.17,19.26,25748.0,155.5,148.5
66,2016,5,Karnataka,Tumkur,21285.0,55.8,45.45,39.53,12325.0,32.31,26.32,22.89,4538.0,11.9,9.69,8.43,38148.0,81.46,70.84
66,2017,5,Karnataka,Tumkur,24548.0,55.56,52.59,45.32,13290.0,30.08,28.47,24.54,6346.0,14.36,13.6,11.72,44184.0,94.66,81.57
67,2016,5,Karnataka,Mysore,32044.0,51.67,108.62,86.95,19509.0,31.46,66.13,52.94,10459.0,16.87,35.45,28.38,62012.0,210.21,168.27
67,2017,5,Karnataka,Mysore,34283.0,55.88,91.78,70.39,16491.0,26.88,44.15,33.86,10582.0,17.25,28.33,21.73,61356.0,164.25,125.97
68,2016,5,Karnataka,Mandya,38827.0,64.11,239.93,194.0,13127.0,21.68,81.12,65.59,8605.0,14.21,53.18,42.99,60559.0,374.23,302.58
68,2017,5,Karnataka,Mandya,49044.0,67.93,249.67,191.09,13855.0,19.19,70.53,53.98,9299.0,12.88,47.34,36.23,72198.0,367.54,281.3
69,2016,5,Karnataka,Hassan,33682.0,49.22,108.03,92.51,21937.0,32.06,70.36,60.25,12813.0,18.72,41.09,35.19,68432.0,219.48,187.96
69,2017,5,Karnataka,Hassan,32894.0,48.79,95.24,78.12,19091.0,28.31,55.28,45.34,15439.0,22.9,44.7,36.67,67424.0,195.23,160.13
70,2016,5,Karnataka,Shimoge,27793.0,49.1,122.06,112.9,17431.0,30.79,76.55,70.81,11386.0,20.11,50.0,46.25,56610.0,248.6,229.95
70,2017,5,Karnataka,Shimoge,29018.0,47.7,128.28,115.48,17441.0,28.67,77.1,69.41,14377.0,23.63,63.55,57.21,60836.0,268.93,242.1
71,2016,5,Karnataka,Chickmagalur,29822.0,43.95,102.7,90.58,19107.0,28.16,65.8,58.04,18933.0,27.9,65.2,57.51,67862.0,233.69,206.13
71,2017,5,Karnataka,Chickmagalur,28833.0,43.07,102.04,85.46,17782.0,26.56,62.93,52.7,20329.0,30.37,71.95,60.25,66944.0,236.92,198.41
72,2016,5,Karnataka,Chitradurga,20375.0,56.78,51.77,43.63,11971.0,33.36,30.42,25.63,3538.0,9.86,8.99,7.58,35884.0,91.18,76.84
72,2017,5,Karnataka,Chitradurga,14296.0,53.91,37.88,32.28,8614.0,32.48,22.83,19.45,3608.0,13.61,9.56,8.15,26518.0,70.27,59.88
73,2016,5,Karnataka,Bellary,69683.0,56.5,179.53,161.18,39677.0,32.17,102.22,91.78,13969.0,11.33,35.99,32.31,123329.0,317.75,285.27
73,2017,5,Karnataka,Bellary,70669.0,58.1,169.43,139.03,37463.0,30.8,89.82,73.7,13491.0,11.09,32.35,26.54,121623.0,291.59,239.28
74,2016,5,Karnataka,Dharwad,20740.0,55.48,62.36,42.48,13288.0,35.55,39.96,27.21,3353.0,8.97,10.08,6.87,37381.0,112.4,76.56
74,2017,5,Karnataka,Dharwad,15657.0,56.03,51.04,35.29,8636.0,30.9,28.15,19.46,3652.0,13.07,11.91,8.23,27945.0,91.1,62.98
75,2016,5,Karnataka,Belgaum,100099.0,55.61,121.48,96.31,45043.0,25.03,54.66,43.34,34850.0,19.36,42.29,33.53,179992.0,218.44,173.17
75,2017,5,Karnataka,Belgaum,92878.0,56.16,121.53,92.16,39229.0,23.72,51.33,38.92,33264.0,20.11,43.52,33.01,165371.0,216.38,164.09
76,2016,5,Karnataka,Bijapur,29057.0,53.58,32.63,30.31,18615.0,34.33,20.91,19.42,6557.0,12.09,7.36,6.84,54229.0,60.9,56.56
76,2017,5,Karnataka,Bijapur,27846.0,53.82,31.27,28.76,16532.0,31.95,18.57,17.08,7361.0,14.23,8.27,7.6,51739.0,58.11,53.44
77,2016,5,Karnataka,Bidar,11858.0,48.09,30.91,24.51,11012.0,44.66,28.71,22.76,1788.0,7.25,4.66,3.7,24658.0,64.28,50.98
77,2017,5,Karnataka,Bidar,10275.0,48.56,28.14,22.75,8497.0,40.16,23.27,18.81,2388.0,11.29,6.54,5.29,21160.0,57.94,46.84
78,2016,5,Karnataka,Raichur,66488.0,56.71,145.46,114.77,39289.0,33.51,85.95,67.82,11459.0,9.77,25.07,19.78,117236.0,256.48,202.37
78,2017,5,Karnataka,Raichur,80329.0,57.69,187.06,159.02,44811.0,32.18,104.35,88.71,14098.0,10.13,32.83,27.91,139238.0,324.23,275.63
79,2016,5,Karnataka,Gulbarga,25926.0,47.98,30.8,25.14,24196.0,44.78,28.75,23.46,3908.0,7.23,4.64,3.79,54030.0,64.19,52.39
79,2017,5,Karnataka,Gulbarga,19457.0,51.51,22.28,18.13,15020.0,39.76,17.2,14.0,3298.0,8.73,3.78,3.07,37775.0,43.26,35.21
80,2016,5,Karnataka,Dakshina Kannada,6905.0,37.15,47.56,43.49,4480.0,24.1,30.86,28.22,7203.0,38.75,49.61,45.37,18588.0,128.03,117.08
80,2017,5,Karnataka,Dakshina Kannada,7199.0,36.97,49.03,45.58,4838.0,24.84,32.95,30.63,7438.0,38.19,50.65,47.09,19475.0,132.63,123.3
81,2016,5,Karnataka,Uttara Kannada,8646.0,56.45,77.99,71.42,3819.0,24.93,34.45,31.55,2852.0,18.62,25.73,23.56,15317.0,138.16,126.52
81,2017,5,Karnataka,Uttara Kannada,8781.0,52.66,79.0,71.74,4050.0,24.29,36.44,33.09,3845.0,23.06,34.59,31.41,16676.0,150.04,136.23
82,2016,5,Karnataka,Kodagu,17516.0,42.78,105.8,92.54,11768.0,28.74,71.08,62.17,11662.0,28.48,70.44,61.61,40946.0,247.32,216.32
82,2017,5,Karnataka,Kodagu,19657.0,43.5,119.22,104.22,11983.0,26.52,72.68,63.53,13550.0,29.98,82.18,71.84,45190.0,274.08,239.6
83,2016,11,Tamil Nadu,Kancheepuram,17055.0,63.04,178.52,155.14,6567.0,24.27,68.74,59.74,3434.0,12.69,35.94,31.24,27056.0,283.2,246.12
83,2017,11,Tamil Nadu,Kancheepuram,20169.0,62.04,191.26,161.88,7596.0,23.36,72.03,60.97,4747.0,14.6,45.01,38.1,32512.0,308.3,260.95
84,2016,11,Tamil Nadu,South Arcot Cuddalore,35925.0,57.29,168.23,114.69,15187.0,24.22,71.12,48.49,11594.0,18.49,54.29,37.01,62706.0,293.64,200.19
84,2017,11,Tamil Nadu,South Arcot Cuddalore,33297.0,55.64,156.26,105.07,13566.0,22.67,63.66,42.81,12978.0,21.69,60.9,40.95,59841.0,280.82,188.84
85,2016,11,Tamil Nadu,North Arcot Vellore,32286.0,61.67,207.75,174.5,12337.0,23.56,79.39,66.68,7731.0,14.77,49.75,41.78,52354.0,336.88,282.96
85,2017,11,Tamil Nadu,North Arcot Vellore,35245.0,63.88,231.04,189.2,11811.0,21.41,77.42,63.4,8114.0,14.71,53.19,43.56,55170.0,361.65,296.16
86,2016,11,Tamil Nadu,Salem,19856.0,48.53,103.34,85.63,11154.0,27.26,58.05,48.1,9907.0,24.21,51.56,42.72,40917.0,212.95,176.45
86,2017,11,Tamil Nadu,Salem,14338.0,36.63,70.02,50.79,12521.0,31.98,61.14,44.35,12288.0,31.39,60.01,43.53,39147.0,191.16,138.66
87,2016,11,Tamil Nadu,Coimbatore,15216.0,45.22,92.07,89.98,6351.0,18.87,38.43,37.56,12083.0,35.91,73.11,71.45,33650.0,203.61,198.99
87,2017,11,Tamil Nadu,Coimbatore,12167.0,38.77,73.96,71.49,7135.0,22.73,43.37,41.92,12084.0,38.5,73.45,71.0,31386.0,190.78,184.4
88,2016,11,Tamil Nadu,Tiruchirapalli Trichy,24268.0,52.86,203.18,190.51,11053.0,24.08,92.54,86.77,10587.0,23.06,88.64,83.11,45908.0,384.36,360.39
88,2017,11,Tamil Nadu,Tiruchirapalli Trichy,20836.0,50.41,138.4,128.42,8885.0,21.5,59.02,54.76,11608.0,28.09,77.1,71.54,41329.0,274.52,254.72
89,2016,11,Tamil Nadu,Thanjavur,40106.0,65.08,242.03,167.49,12435.0,20.18,75.04,51.93,9089.0,14.75,54.85,37.96,61630.0,371.92,257.38
89,2017,11,Tamil Nadu,Thanjavur,17835.0,44.24,99.47,65.85,9182.0,22.78,51.21,33.9,13298.0,32.99,74.17,49.1,40315.0,224.86,148.85
90,2016,11,Tamil Nadu,Madurai,13180.0,54.62,149.66,147.67,6183.0,25.62,70.21,69.28,4767.0,19.76,54.13,53.41,24130.0,273.99,270.36
90,2017,11,Tamil Nadu,Madurai,12453.0,58.64,121.33,119.09,4707.0,22.17,45.86,45.01,4076.0,19.19,39.71,38.98,21236.0,206.9,203.08
91,2016,11,Tamil Nadu,Ramananthapuram,5835.0,59.37,33.83,33.83,3583.0,36.46,20.78,20.78,410.0,4.17,2.38,2.38,9828.0,56.99,56.99
91,2017,11,Tamil Nadu,Ramananthapuram,11293.0,81.79,63.42,63.42,2164.0,15.67,12.15,12.15,350.0,2.53,1.97,1.97,13807.0,77.53,77.53
92,2016,11,Tamil Nadu,Thirunelveli,23476.0,57.15,173.35,166.4,12825.0,31.22,94.7,90.91,4777.0,11.63,35.27,33.86,41078.0,303.33,291.17
92,2017,11,Tamil Nadu,Thirunelveli,19189.0,63.59,121.24,115.9,6071.0,20.12,38.36,36.67,4916.0,16.29,31.06,29.69,30176.0,190.66,182.26
93,2016,11,Tamil Nadu,The Nilgiris,4465.0,57.83,59.32,59.29,751.0,9.73,9.98,9.97,2505.0,32.44,33.28,33.26,7721.0,102.58,102.53
93,2017,11,Tamil Nadu,The Nilgiris,4848.0,59.51,66.09,66.04,1399.0,17.17,19.07,19.06,1900.0,23.32,25.9,25.88,8147.0,111.07,110.99
94,2016,11,Tamil Nadu,Kanyakumari,8791.0,54.74,117.67,108.54,5240.0,32.63,70.14,64.7,2030.0,12.64,27.17,25.06,16061.0,214.98,198.3
94,2017,11,Tamil Nadu,Kanyakumari,9769.0,61.52,133.38,126.36,3667.0,23.09,50.07,47.43,2443.0,15.39,33.36,31.6,15879.0,216.8,205.39
96,2016,7,Maharashtra,Thane,14732.0,82.61,59.91,58.6,1850.0,10.37,7.52,7.36,1252.0,7.02,5.09,4.98,17834.0,72.53,70.94
96,2017,7,Maharashtra,Thane,6371.0,81.11,25.9,25.33,781.0,9.94,3.17,3.11,703.0,8.95,2.86,2.8,7855.0,31.93,31.23
97,2016,7,Maharashtra,Raigarh,10918.0,72.77,58.98,51.48,2457.0,16.38,13.27,11.58,1629.0,10.86,8.8,7.68,15004.0,81.06,70.74
97,2017,7,Maharashtra,Raigarh,8955.0,78.49,46.91,41.19,1235.0,10.82,6.47,5.68,1219.0,10.68,6.39,5.61,11409.0,59.76,52.48
98,2016,7,Maharashtra,Ratnagiri,6221.0,62.46,24.44,23.64,2284.0,22.93,8.97,8.68,1455.0,14.61,5.72,5.53,9960.0,39.14,37.84
98,2017,7,Maharashtra,Ratnagiri,6490.0,68.47,25.78,24.92,1772.0,18.69,7.04,6.8,1217.0,12.84,4.84,4.67,9479.0,37.66,36.4
99,2016,7,Maharashtra,Nasik,90911.0,55.65,104.16,89.92,49508.0,30.3,56.72,48.97,22951.0,14.05,26.3,22.7,163370.0,187.18,161.59
99,2017,7,Maharashtra,Nasik,99979.0,50.42,114.88,98.5,64106.0,32.33,73.66,63.16,34212.0,17.25,39.31,33.71,198297.0,227.85,195.37
100,2016,7,Maharashtra,Dhule,37725.0,58.88,90.62,71.03,14384.0,22.45,34.55,27.08,11957.0,18.66,28.72,22.51,64066.0,153.89,120.63
100,2017,7,Maharashtra,Dhule,37893.0,54.94,91.18,70.76,16456.0,23.86,39.6,30.73,14627.0,21.21,35.19,27.31,68976.0,165.97,128.81
101,2016,7,Maharashtra,Jalgaon,106946.0,50.34,125.92,86.2,45941.0,21.62,54.09,37.03,59563.0,28.04,70.13,48.01,212450.0,250.15,171.23
101,2017,7,Maharashtra,Jalgaon,96772.0,44.26,113.96,79.62,47696.0,21.82,56.17,39.24,74158.0,33.92,87.33,61.02,218626.0,257.45,179.88
102,2016,7,Maharashtra,Ahmednagar,99006.0,53.52,94.62,68.07,54440.0,29.43,52.03,37.43,31526.0,17.04,30.13,21.67,184972.0,176.77,127.17
102,2017,7,Maharashtra,Ahmednagar,105164.0,49.3,96.98,69.03,66273.0,31.07,61.11,43.5,41883.0,19.63,38.62,27.49,213320.0,196.72,140.03
103,2016,7,Maharashtra,Pune,95343.0,57.13,158.77,108.69,42116.0,25.24,70.13,48.01,29422.0,17.63,49.0,33.54,166881.0,277.9,190.24
103,2017,7,Maharashtra,Pune,97238.0,54.03,165.4,111.5,48290.0,26.83,82.14,55.37,34456.0,19.14,58.61,39.51,179984.0,306.15,206.38
104,2016,7,Maharashtra,Satara,51391.0,54.99,95.26,77.01,24347.0,26.05,45.13,36.49,17715.0,18.96,32.84,26.55,93453.0,173.22,140.05
104,2017,7,Maharashtra,Satara,49264.0,51.86,91.65,73.86,25804.0,27.16,48.01,38.69,19926.0,20.98,37.07,29.87,94994.0,176.73,142.42
